CITATION,Positive,Objective,Negative
the pos disambiguation has usually been performed by statistical approaches mainly using hidden markov model hmm cutting et al 1992 kupiec ,0,1,0
22 stt a statistical treebased tagger the aim of statistical or probabilistic tagging church 1988 cutting et al 1992 is to assign the most likely sequence of tags given the observed sequence of words ,0,1,0
roughly in keeping with rapp 2002 we hereby regard paradigmatic assocations as those based largely on word similarity ie including those typically classed as synonyms antonyms hypernyms hyponyms etc whereas syntagmatic associations are all those words which strongly invoke one another yet which cannot readily be said to be similar ,0,1,0
while choosing an optimum window size for an application is often subject to trial and error there are some generally recognized tradeoffs between small versus large windows such as the impact of datasparseness and the nature of the associations retrieved church and hanks 1989 church and hanks 1991 rapp 2002 measures based on distance between words in the text ,0,1,0
at the present time given the key role of window size in determining the selection and apparent strength of associations under the conventional cooccurrence model highlighted here and in the works of church et al 1991 rapp 2002 wang 2005 and schulte im walde melinger 2008 we would urge that this is an issue which windowdriven studies continue to conscientiously address at the very least scale is a parameter which findings dependent on distributional phenomena must be qualified in light of ,0,1,0
rapp 2002 calls this tradeoff specificity equivalent observations were made by church hanks 1989 and church et al 1991 who refer to the tendency for large windows to wash out smear or defocus those associations exhibited at smaller scales ,0,1,0
21 scaledependence it has been shown that varying the size of the context considered for a word can impact upon the performance of applications rapp 2002 yarowsky florian 2002 there being no ideal window size for all applications ,0,1,0
22 data sparseness another facet of the general tradeoff identified by rapp 2002 pertains to how limitations in862 herent in the combination of data and cooccurrence retrieval method are manifest ,0,1,0
whereas until recently the focus of research had been on sense disambiguation papers like pantel lin 2002 neill 2002 and rapp 2003 give evidence that sense induction now also attracts attention ,0,1,0
3 algorithm as in previous work rapp 2002 our computations are based on a partially lemmatized version of the british national corpus bnc which has the function words removed ,0,1,0
for example it has been used to measure centrality in hyperlinked web pages networks brin and page 1998 kleinberg 1998 lexical networks erkan and radev 2004 mihalcea and tarau 2004 kurland and lee 2005 kurland and lee 2006 and semantic networks mihalcea et al 2004 ,0,1,0
our method is based on the ones described in erkan and radev 2004 mihalcea and tarau 2004 fader et al 2007 the objective of this paper is to dynamically rank speakers or participants in a discussion ,0,1,0
eigenvector centrality in particular has been successfully applied to many different types of networks including hyperlinked web pages brin and page 1998 kleinberg 1998 lexical networks erkan and radev 2004 mihalcea and tarau 2004 kurland and lee 2005 kurland and lee 2006 and semantic networks mihalcea et al 2004 ,1,0,0
still it is in our next plans and part of our future work to embed in our model some of the interesting wsd approaches like knowledgebased sinha and mihalcea 2007 brody et al 2006 corpusbased mihalcea and csomai 2005 mccarthy et al 2004 or combinations with very high accuracy montoyo et al 2005 ,0,1,0
417 structure of semantic networks was proposed in mihalcea et al 2004 with a disambiguation accuracy of 509 measured on all the words in the senseval2 data set ,0,1,0
previous approaches include supervised learning hirao et al 2002 teufel and moens 1997 vectorial similarity computed between an initial abstract and sentences in the given document intradocument similarities salton et al 1997 or graph algorithms mihalcea and tarau 2004 erkan and radev 2004 wolf and gibson 2004 ,0,1,0
inspired by the idea of graph based algorithms to collectively rank and select the best candidate research efforts in the natural language community have applied graphbased approaches on keyword selection mihalcea and tarau 2004 text summarization erkan and radev 2004 mihalcea 2004 word sense disambiguation mihalcea et al 2004 mihalcea 2005 sentiment analysis pang and lee 2004 and sentence retrieval for question answering otterbacher et al 2005 ,0,1,0
such textoriented ranking methods can be applied to tasks ranging from automated extraction of keyphrases to extractive summarization and word sense disambiguation mihalcea et al 2004 ,0,1,0
using dictionaries as network of lexical items or senses has been quite popular for word sense disambiguation veronis and ide 1990 hkozima and furugori 1993 niwa and nitta 1994 before losing ground to statistical approaches even though gaume et al 2004 mihalcea et al 2004 tried a revival of such methods ,0,1,0
he et al 2008 ,0,1,0
due to the lack of a good arabic parser compatible with the sakhr tokenization that we used on the source side we did not test the source dependency lm for arabictoenglish mt when extracting rules with source dependency structures we applied the same wellformedness constraint on the source side as we did on the target side using a procedure described by shen et al 2008 ,0,1,0
in post and gildea 2008 shen et al 2008 target trees were employed to improve the scoring of translation theories ,0,1,0
a few studies carpuat and wu 2007 ittycheriah and roukos 2007 he et al 2008 hasan et al 2008 addressed this defect by selecting the appropriate translation rules for an input span based on its context in the input sentence ,0,1,0
the other approach is to estimate a single score or likelihood of a translation with rich features for example with the maximum entropy maxent method as in carpuat and wu 2007 ittycheriah and roukos 2007 he et al 2008 ,0,1,0
in he et al 2008 lexical 72 features were limited on each single side due to the feature space problem ,0,1,0
similar ideas were explored in he et al 2008 ,0,1,0
2 linguistic and context features 21 nonterminal labels in the original stringtodependency model shen et al 2008 a translation rule is composed of a string of words and nonterminals on the source side and a wellformed dependency structure on the target side ,0,1,0
lopez 2008 explores whether lexical reordering or the phrase discontiguity inherent in hierarchical rules explains improvements over phrasebased systems ,0,1,0
first such a system makes use of lexical information when modeling reordering lopez 2008 which has previously been shown to be useful in germantoenglish translation koehn et al 2008 ,1,0,0
lopez 2008b gives indirect experimental evidence that this difference affects performance ,0,1,0
our hierarchical system is hiero chiang 2007 modified to construct rules from a small sample of occurrences of each source phrase in training as described by lopez 2008b ,0,1,0
macken et al 2008 showed that the results for frenchenglish were competitive to stateoftheart alignment systems ,1,0,0
then the same system weights are applied to both inchmm and joint decoding based approaches and the feature weights of them are trained using the maxbleu training method proposed by och 2003 and refined by moore and quirk 2008 ,1,0,0
previouswork eg moore and quirk 2008 cer et al 2008 has focusedonimprovingtheperformanceofpowells algorithm ,0,1,0
moore and quirk 2008 share the goal underlying our own research improving rather than replacing ochs mert procedure ,0,1,0
turney 2008 has recently proposed a simpler svmbased algorithm for analogical classification called pairclass ,0,1,0
in table 6 we report our results together with the stateoftheart from the acl wiki5 and the scores of turney 2008 pairclass and from amac herdagdelens pairspace system that was trained on ukwac ,0,1,0
turney 2008 is the first to the best of our knowledge to raise the issue of a unified approach ,0,1,0
the algorithm proposed by turney 2008 is labeled as turneypairclass ,0,1,0
building on a recent proposal in this direction by turney 2008 we propose a generic method of this sort and we test it on a set of unrelated tasks reporting good performance across the board with very little taskspecific tweaking ,0,1,0
this unfortunately significantly jeopardizes performance koehn et al 2003 xiong et al 2008 because by integrating syntactic constraint into decoding as a hard constraint it simply prohibits any other useful nonsyntactic translations which violate constituent boundaries ,0,1,0
the machine translation literature is littered with various attempts to learn a phrasebased string transducer directly from aligned sentence pairs doing away with the separate word alignment step marcu and wong 2002 cherry and lin 2007 zhang et al 2008b blunsom et al 2008 ,0,1,0
the sampler reasons over the infinite space of possible translation units without recourse to arbitrary restrictions eg constraints drawn from a wordalignment cherry and lin 2007 zhang et al 2008b or a grammar fixed a priori blunsom et al 1f and e are the input and output sentences respectively ,0,1,0
other linear time algorithms for rank reduction are found in the literature zhang et al 2008 but they are restricted to the case of synchronous contextfree grammars a strict subclass of the lcfrs with f 2 ,0,1,0
in the smt research community the second step has been well studied and many methods have been proposed to speed up the decoding process such as nodebased or spanbased beam search with different pruning strategies liu et al 2006 zhang et al 2008a 2008b and cube pruning huang and chiang 2007 mi et al 2008 ,0,1,0
31 exhaustive search by tree fragments this method generates all possible tree fragments rooted by each node in the source parse tree or forest and then matches all the generated tree fragments against the source parts left hand side of translation rules to extract the useful rules zhang et al 2008a ,0,1,0
1 introduction recently linguisticallymotivated syntaxbased translation method has achieved great success in statistical machine translation smt galley et al 2004 liu et al 2006 2007 zhang et al 2007 2008a mi et al 2008 mi and huang 2008 zhang et al 2009 ,1,0,0
motivated by the fact that nonsyntactic phrases make nontrivial contribution to phrasebased smt the tree sequencebased translation model is proposed liu et al 2007 zhang et al 2008a that uses tree sequence as the basic translation unit rather than using single subtree as in the stsg ,0,1,0
2008a propose a tree sequencebased tree to tree translation model and zhang et al ,0,1,0
a tree sequence to string rule 174 a treesequence to string translation rule in a forest is a triple l r a where l is the tree sequence in source language r is the string containing words and variables in target language and a is the alignment between the leaf nodes of l and r this definition is similar to that of liu et al 2007 zhang et al 2008a except our treesequence is defined in forest ,0,1,0
zollmann et al 2008 ,0,1,0
this is in direct contrast to recent reported results in which other filtering strategies lead to degraded performance shen et al 2008 zollmann et al 2008 ,0,1,0
extensions to hiero several authors describe extensions to hiero to incorporate additional syntactic information zollmann and venugopal 2006 zhang and gildea 2006 shen et al 2008 marton and resnik 2008 or to combine it with discriminative latent models blunsom et al 2008 ,0,1,0
the fluency models hold promise for actual improvements in machine translation output quality zwarts and dras 2008 ,1,0,0
dolan 1994 and krovetz and croft 1992 claim that finegrained semantic distinctions are unlikely to be of practical value for many applications ,0,1,0
much work has gone into methods for measuring synset similarity early work in this direction includes dolan 1994 which attempted to discover sense similarities between dictionary senses ,0,1,0
recognizing this dolan 1994 proposes a method for ambiguating dictionary senses by combining them to create grosser sense distinctions ,0,1,0
82 chen and chang topical clustering dolan 1994 maintains the position that intersense relations are mostly idiosyncratical thereby making it difficult to characterize them in a general way so as to identify them ,0,1,0
as noted in dolan 1994 it is possible to run a senseclustering algorithm on several mrds to build an integrated lexical database with more complete coverage of word senses ,0,1,0
these relations are then used for various tasks ranging from the interpretation of a noun sequence vanderwende 1994 or a prepositional phrase ravin 1990 to resolving structural ambiguity jenson and binot 1987 to merging dictionary senses for wsd dolan 1994 ,0,1,0
5 related work dolan 1994 describes a method for clustering word senses with the use of information provided in the electronic version of ldoce textual definitions semantic relations domain labels etc ,0,1,0
this approach took inspiration from the pioneering work by dolan 1994 but it is also fundamentally different because instead of grouping similar senses together the corelex approach groups together words according to all of their senses ,1,0,0
there is also work on grouping senses of other inventories using information in the inventory dolan 1994 along with information retrieval techniques chen and chang 1998 ,0,1,0
zero derivation dolan 1994 pointed out that it is helpful to identify zeroderived nounverb pairs for such tasks as normalization of the semantics of expressions that are only superficially different ,0,1,0
dolan 1994 observed that sense division in mrd is frequently too free for the purpose of wsd ,0,1,0
