CITATION,Positive,Objective,Negative
in addition to reducing the original sentences jing and mckeown 2000 use a number of manually compiled rules to aggregate reduced sentences for example reduced clauses might be conjoined with and ,0,1,0
previous research has addressed revision in singledocument summaries jing mckeown 2000 mani et al 1999 and has suggested that revising summaries can make them more informative and correct errors ,0,1,0
1 introduction texttotext generation is an emerging area of research in nlp chandrasekar and bangalore 1997 caroll et al 1999 knight and marcu 2000 jing and mckeown 2000 ,0,1,0
the recent approach for editing extracted text spans jing and mckeown 2000 may also produce improvement for our algorithm ,1,0,0
1 introduction the task of sentence compression or sentence reduction can be defined as summarizing a single sentence by removing information from it jing and mckeown 2000 ,0,1,0
like the work of jing and mckeown 2000 and mani et al ,0,1,0
one of the most effective taggers based on a pure hmm is that developed at xerox cutting et al 1992 ,1,0,0
cutting et al 1992 ,0,1,0
cutting et al 1992 and feldweg 1995 ,0,1,0
41 complete ambiguity classes ambiguity classes capture the relevant property we are interested in words with the same category possibilities are grouped together4 and ambiguity classes have been shown to be successfully employed in a variety of ways to improve pos tagging eg cutting et al 1992 daelemans et al 1996 dickinson 2007 goldberg et al 2008 tseng et al 2005 ,1,0,0
in tabh 2 the accuracy rate of the nettagger is corollated to that of a trigram lmsed tagger kempe 1993 and a liidden markov model tagger cutting et al 1992 which were ,0,1,0
language models such as ngram class models brown et al 1992 and ergodic hidden markov models kuhn el al 1994 were proposed and used in applications such as syntactic class pos tagging for english cutting et al 1992 clustering and scoring of recognizer sentence hypotheses ,0,1,0
the tagger used is thus one that does not need tagged and disambiguated material to be trained on namely the xpost originally constructed at xerox parc cutting et al 1992 cutting and pedersen 1993 ,0,1,0
it is usedas tagging mode in english church 1988 cutting et al 1992 and morphological analysis nlodel word segmentation and tagging in japanese nagata 1994 ,0,1,0
this text was partofspeech tagged using the xerox hmm tagger cutting et al 1992 ,0,1,0
as a common strategy pos guessers examine the endings of unknown words cutting et al 1992 along with their capitalization or consider the distribution of unknown words over specific partsofspeech weischedel et al 1993 ,0,1,0
in the absence of an annotated corpus dependencies can be derived by other means eg part413 ofspeech probabilities can be approximated from a raw corpus as in cutting et al 1992 wordsense dependencies can be derived as definitionbased similarities etc label dependencies are set as weights on the arcs drawn between corresponding labels ,0,1,0
there are many pos taggers developed using different techniques for many major languages such as transformationbased errordriven learning brill 1995 decision trees black et al 1992 markov model cutting et al 1992 maximum entropy methods ratnaparkhi 1996 etc for english ,0,1,0
our statistical tagging model is modified from the standard bigrams cutting et al 1992 using viterbi search plus onthefly extra computing of lexical probabilities for unknown morphemes ,0,1,0
two main approaches have generally been considered rulebased klein and simmons 1963 brodda 1982 paulussen and martin 1992 brill et al 1990 probabilistic bahl and mercer 1976 debili 1977 stolz tannenbaum and carstensen 1965 marshall 1983 leech garside and atwell 1983 derouault and merialdo 1986 derose 1988 church 1989 beale 1988 marcken 1990 merialdo 1991 cutting et al 1992 ,0,1,0
stochastic taggers use both contextual and morphological information and the model parameters are usually defined or updated automatically from tagged texts cerfdanon and e1beze 1991 church 1988 cutting et al 1992 dermatas and kokkinakis 1988 1990 1993 1994 garside leech and sampson 1987 kupiec 1992 maltese department of electrical engineering wire communications laboratory wcl university of patras 265 00 patras greece ,0,1,0
unlike stochastic approaches to partofspeech tagging church 1988 kupiec 1992 cutting et al 1992 merialdo 1990 derose 1988 weischedel et al 1993 up to now the knowledge found in finitestate taggers has been handcrafted and was not automatically acquired ,0,1,0
7 independently cutting et al 1992 quote a performance of 800 words per second for their partofspeech tagger based on hidden markov models ,0,1,0
these methods have reported performance in the range of 9599 correct by word derose 1988 cutting et al 1992 jelinek mercer and roukos 1992 kupiec 1992 ,0,1,0
a number of partofspeech taggers are readily available and widely used all trained and retrainable on text corpora church 1988 cutting et al 1992 brill 1992 weischedel et al 1993 ,1,0,0
partofspeech tagging is an active area of research a great deal of work has been done in this area over the past few years eg jelinek 1985 church 1988 derose 1988 hindle 1989 demarcken 1990 merialdo 1994 brill 1992 black et al 1992 cutting et al 1992 kupiec 1992 charniak et al 1993 weischedel et al 1993 schutze and singer 1994 ,0,1,0
cutting et al 1992 reported very high results 96 on the brown corpus for unsupervised pos tagging using hidden markov models hmms by exploiting handbuilt tag dictionaries and equivalence classes ,1,0,0
it is also possible to train statistical models using unlabeled data with the expectation maximization algorithm cutting et al 1992 ,0,1,0
for english there are many pos taggers employing machine learning techniques like transformationbased errordriven learning brill 1995 decision trees black et al 1992 markov model cutting et al 1992 maximum entropy methods ratnaparkhi 1996 etc there are also taggers which are hybrid using both stochastic and rulebased approaches such as claws garside and smith 1997 ,0,1,0
this situation is very similar to that involved in training hmm text taggers where joint probabilities are computed that a particular word corresponds to a particular partofspeech and the rest of the words in the sentence are also generated eg cutting et al 1992 ,0,1,0
making such an assumption is reasonable since pos taggers that can achieve accuracy of 96 are readily available to assign pos to unrestricted english sentences brill 1992 cutting et al 1992 ,0,1,0
derose 1988 cutting et al 1992 church 1988 ,0,1,0
there has been a large number of studies in tagging and morphological disambiguation using various techniques such as statistical techniques eg church 1988 cutting et al 1992 derose 1988 constraintbased techniques karlsson et al 1995 voutilainen 1995b voutilainen heikkili and anttila 1992 voutilainen and tapanainen 1993 oflazer and kurusz 1994 oflazer and till 1996 and transformationbased techniques brilt 1992 brill 1994 brill 1995 ,0,1,0
second the automatic approach in which the model is automatically obtained from corpora either raw or annotated 1 and consists of ngrams garside et al 1987 cutting et ah 1992 rules hindle 1989 or neural nets schmid 1994 ,0,1,0
cutting et al 1992 local rules eg hindle 1989 and neural networks eg schmid 1994 ,0,1,0
the xerox tagger comes with a list of builtin ending guessing rules cutting et al 1992 ,0,1,0
it has been known for some years that good performance can be realized with partial tagging and a hidden markov model cutting et al 1992 ,1,0,0
this analysis depends on the specialist lexicon and the xerox partofspeech tagger cutting et al 1992 and provides simple noun phrases that are mapped to concepts in the umls metathesaurus using metamap aronson 2001 ,0,1,0
many approaches for pos tagging have been developed in the past including rulebased tagging brill 1995 hmm taggers brants 2000 cutting and others 1992 maximumentropy models rathnaparki 1996 cyclic dependency networks toutanova et al 2003 memorybased learning daelemans et al 1996 etc all of these approaches require either a large amount of annotated training data for supervised tagging or a lexicon listing all possible tags for each word for unsupervised tagging ,0,0,1
5 comparison with other approaches in some sense this approach is similar to the notion of ambiguity classes explained in kupiec 1992 and cutting et al 1992 where words that belong to the same partofspeech figure together ,0,1,0
most work on statistical methods has used ngram models or hidden markov modelbased taggers eg church 1988 derose 1988 cutting et al 1992 merialdo 1994 etc ,0,1,0
kupiec 1992 has proposed an estimation method for the ngram language model using the baumwelch reestimation algorithm rabiner et al 1994 from an untagged corpus and cutting et al ,0,1,0
the accuracy of the derived model depends heavily on the initial bias but with a good choice results are comparable to those of method three cutting et al 1992 ,0,1,0
our statistical tagging model is adjusted from standard bigrams using the viterbisearch cutting et al 1992 plus onthefly extra computing of lexical probabilities for unknown morphemes ,0,1,0
cutting et al 1992 feldweg 1995 the tagger for grammatical functions works with lexical 1 selbst besucht adv vvpp himself visited hat peter sabine vafin ne ne has peter sabine peter never visited sabine himself l hie adv never figure 2 example sentence and contextual probability measures po depending on the category of a mother node q ,0,1,0
examples of such affinities include synonyms terra and clarke 2003 verb similarities resnik and diab 2000 and word associations rapp 2002 ,0,1,0
several papers have looked at higherorder representations but have not examined the equivalence of synpara distributions when formalized as markov chains schutze and pedersen 1993 lund and burgess 1996 edmonds 1997 rapp 2002 biemann et al 2004 lemaire and denhiere 2006 ,0,0,1
then by using evaluations similar to those described in baroni et al 2008 and by rapp 2002 we show that the best distancebased measures correlate better overall with human association scores than do the best window based configurations see section 4 and that they also serve as better predictors of the strongest human associations see section 5 ,0,1,0
3 methodology similar to rapp 2002 baroni et al 2008 among others we use comparison to human assocation datasets as a test bed for the scores produced by computational association measures ,0,1,0
we use evaluations similar to those used before rapp 2002 pado and lapata 2007 baroni et al 2008 among others ,0,1,0
as rapp 2002 observes choosing a window size involves making a tradeoff between various qualities ,0,1,0
this is one manifestation of what is commonly referred to as the data sparseness problem and was discussed by rapp 2002 as a sideeffect of specificity ,0,1,0
we used the procedure described in rapp 2002 with the only modification being the multiplication of the loglikelihood values with a triangular function that depends on the logarithm of a words frequency ,0,1,0
ruge 1992 rapp 2002 ,0,1,0
even though there are some studies that compare the results from statistically computed association measures with word association norms from psycholinguistic experiments landauer et al 1998 rapp 2002 there has not been any research on the usage of a digital networkbased dictionary reflecting the organisation of the mental lexicon to our knowledge ,0,1,0
there are several other approaches such as ji and ploux 2003 and the already mentioned rapp 2002 ,0,1,0
this method was preferred against other related methods like the one introduced in mihalcea et al 2004 since it embeds all the available semantic information existing in wordnet even edges that cross pos thus offering a richer semantic representation ,0,0,1
ranking algorithms such as kleinbergs hits algorithm kleinberg 1999 or googles pagerank brin and page 1998 have been traditionally and successfully used in weblink analysis brin and page 1998 social networks and more recently in text processing applications mihalcea and tarau 2004 mihalcea et al 2004 erkan and radev 2004 ,0,1,0
although various approaches to smt system combination have been explored including enhanced combination model structure rosti et al 2007 better word alignment between translations ayan et al 2008 he et al 2008 and improved confusion network construction rosti et al 2008 most previous work simply used the ensemble of smt systems based on different models and paradigms at hand and did not tackle the issue of how to obtain the ensemble in a principled way ,0,1,0
most of the work focused on seeking better word alignment for consensusbased confusion network decoding matusov et al 2006 or wordlevel system combination he et al 2008 ayan et al 2008 ,0,1,0
however one of the major limitations of these advances is the structured syntactic knowledge which is important to global reordering li et al 2007 elming 2008 has not been well exploited ,0,1,0
please note that our approach is very different from other approaches to context dependent rule selection such as ittycheriah and roukos 2007 and he et al 2008 ,0,1,0
thus we can compute the source dependency lm score in the same way we compute the target side score using a procedure described in shen et al 2008 ,0,1,0
a remedy is to aggressively limit the feature space eg to syntactic labels or a small fraction of the bilingual features available as in chiang et al 2008 chiang et al 2009 but that reduces the benefit of lexical features ,0,1,0
carpuat and wu 2007 and he et al 2008 the specific technique we used by means of a context language model is rather different ,0,1,0
73 122 baseline system and experimental setup we take bbns hierdec a stringtodependency decoder as described in shen et al 2008 as our baseline for the following two reasons it provides a strong baseline which ensures the validity of the improvement we would obtain ,0,1,0
previously published approaches to reducing the rule set include enforcing a minimum span of two words per nonterminal lopez 2008 which would reduce our set to 115m rules or a minimum count mincount threshold zollmann et al 2008 which would reduce our set to 78m mincount2 or 57m mincount3 rules ,0,1,0
lopez 2008 explores whether lexical reordering or the phrase discontiguity inherent in hierarchical rules explains improvements over phrasebased systems ,0,1,0
2 models search spaces and errors a translation model consists of two distinct elements an unweighted ruleset and a parameterization lopez 2008a 2009 ,0,1,0
in a next step chunk information was added by a rulebased languageindependent chunker macken et al 2008 that contains distituency rules which implies that chunk boundaries are added between two pos codes that cannot occur in the same constituent ,0,1,0
one such relational reasoning task is the problem of compound noun interpretation which has received a great deal of attention in recent years girju et al 2005 turney 2006 butnariu and veale 2008 ,0,1,0
turney 2008 argues that many nlp tasks can be formulated in terms of analogical reasoning and he applies his pairclass algorithm to a number of problems including sat verbal analogy tests synonymantonym classification and distinction between semantically similar and semantically associated words ,0,1,0
analternativeembeddingisthatusedbyturney 2008 in his pairclass system see section 6 ,0,1,0
language modeling chen and goodman 1996 nounclustering ravichandran et al 2005 constructing syntactic rules for smt galley et al 2004 and finding analogies turney 2008 are examples of some of the problems where we need to compute relative frequencies ,0,1,0
in nlp community it has been shown that having more data results in better performance ravichandran et al 2005 brants et al 2007 turney 2008 ,0,1,0
2 related work turney 2008 recently advocated the need for a uniform approach to corpusbased semantic tasks ,0,1,0
such tasks will require an extension of the current framework of turney 2008 beyond evidence from the direct cooccurrence of target word pairs ,0,1,0
we adopt a similar approach to the one used in turney 2008 and consider each question as a separate binary classification problem with one positive training instance and 5 unknown pairs ,0,1,0
they are part of an effort to better integrate a linguistic rulebased system and the statistical correcting layer also illustrated in ueffing et al 2008 ,0,1,0
35 domain adaptation in machine translation within mt there has been a variety of approaches dealing with domain adaption for example wu et al 2008 koehn and schroeder 2007 ,0,1,0
optimal algorithms exist for minimising the size of rules in a synchronous contextfree grammar scfg uno and yagiura 2000 zhang et al 2008 ,0,1,0
following the broad shift in the field from finite state transducers to grammar transducers chiang 2007 recent approaches to phrasebased alignment have used synchronous grammar formalisms permitting polynomial time inference wu 1997 783 cherry and lin 2007 zhang et al 2008b blunsom et al 2008 ,0,1,0
4 training this section discusses how to extract our translation rules given a triple nullnullnull null nullnull as we know the traditional treetostring rules can be easily extracted from nullnullnull null nullnull using the algorithm of mi and huang 2008 2 we would like 2 mi and huang 2008 extend the treebased rule extraction algorithm galley et al 2004 to forestbased by introducing nondeterministic mechanism ,0,1,0
among these advances forestbased modeling mi et al 2008 mi and huang 2008 and tree sequencebased modeling liu et al 2007 zhang et al 2008a are two interesting modeling methods with promising results reported ,1,0,0
therefore structure divergence and parse errors are two of the major issues that may largely compromise the performance of syntaxbased smt zhang et al 2008a mi et al 2008 ,0,1,0
to address this issue many syntaxbased approaches yamada and knight 2001 eisner 2003 gildea 2003 ding and palmer 2005 quirk et al 2005 zhang et al 2007 2008a bod 2007 liu et al 2006 2007 hearne and way 2003 tend to integrate more syntactic information to enhance the noncontiguous phrase modeling ,0,1,0
nevertheless the generated rules are strictly required to be derived from the contiguous translational equivalences galley et al 2006 marcu et al 2006 zhang et al 2007 2008a 2008b liu et al 2006 2007 ,0,1,0
2 we illustrate the rule extraction with an example from the treetotree translation model based on tree sequence alignment zhang et al 2008a without losing of generality to most syntactic tree based models ,0,1,0
the proposed synchronous grammar is able to cover the previous proposed grammar based on tree stsg eisner 2003 zhang et al 2007 and tree sequence stssg zhang et al 2008a alignment ,0,1,0
word alignment is also a required first step in other algorithms such as for learning subsentential phrase pairs lavie et al 2008 or the generation of parallel treebanks zhechev and way 2002 ,0,1,0
previously published approaches to reducing the rule set include enforcing a minimum span of two words per nonterminal lopez 2008 which would reduce our set to 115m rules or a minimum count mincount threshold zollmann et al 2008 which would reduce our set to 78m mincount2 or 57m mincount3 rules ,0,1,0
various approaches to word sense division have been proposed in the literature on wsd including 1 sense numbers in everyday dictionaries lesk 1986 cowie guthrie and guthrie 1992 2 automatic or handcrafted clusters of dictionary senses dolan 1994 bruce and wiebe 1995 luk department of computer science national tsing hua university hsinchu 30043 taiwan roc ,0,1,0
furthermore as pointed out in dolan 1994 the sense division in an mrd is frequently too finegrained for the purpose of wsd ,0,1,0
however they do not elaborate on how the comparisons are done or on how effective the program is dolan 1994 describes a heuristic approach to forming unlabeled clusters of closely related senses in an mrd ,0,1,0
recently various approaches dolan 1994 luk 1995 yarowsky 1992 dagan et al 1991 dagan and itai 1994 to word sense division have been used in wsd research ,0,1,0
dolan 1994 described a heuristic approach to forming unlabeled clusters of closely related senses in a mrd ,0,1,0
on the british national corpus bnc using lins 1998 similarity method we retrieve the following neighbors for the first and second sense respectively 1 ,0,1,0
a potential caveat with lins 1998 distributional similarity measure is its reliance on syntactic information for obtaining dependency relations ,0,0,1
feature comparison measures to convert two feature sets into a scalar value several measures have been proposed such as cosine lins measure lin 1998 kullbackleibler kl divergence and its variants ,0,1,0
others proposed distributional similarity measures between words hindle 1990 lin 1998 lee 1999 weeds et al 2004 ,0,1,0
one is automatic thesaurus acquisition that is to identify synonyms or topically related words from corpora based on various measures of similarity eg riloff and shepherd 1997 lin 1998 caraballo 1999 thelen and riloff 2002 you and chen 2006 ,0,1,0
by no means an exhaustive list the most commonly cited ranking and scoring algorithms are hits kleinberg 1998 and pagerank page et al 1998 which rank hyperlinked documents using the concepts of hubs and authorities ,0,1,0
within the nlp community nbest list ranking has been looked at carefully in parsing extractive summarization barzilay et al 1999 hovy and lin 1998 and machine translation zhang et al 2006 to name a few ,0,1,0
given a wordq its set of featuresfq and feature weightswqf for f fq a common symmetric similarity measure is lin similarity lin 1998a linuv summationtext ffufvwufwvfsummationtext ffu wuf summationtext ffv wvf where the weight of each feature is the pointwise mutual information pmi between the word and the feature wqf logprfqprf ,0,1,0
among these measures the most important are wu palmers wu and palmer 1994 resniks resnik 1995 and lins lin 1998 ,1,0,0
where pantel and lin use lins 1998 measure we use wu and palmers 1994 measure ,0,1,0
4 experiments and results 41 set up we parsed the 3 gb aquaint corpus voorhees 2002 using minipar lin 1998b and collected verbobject and verbsubject frequencies building an empirical mi model from this data ,0,1,0
they have been successfully applied in several tasks such as information retrieval salton et al 1975 and harvesting thesauri lin 1998 ,0,1,0
distributional measures of distance such as those proposed by lin 1998 quantify how similar the two sets of contexts of a target word pair are ,0,1,0
accurate measurement of semantic similarity between lexical units such as words or phrases is important for numerous tasks in natural language processing such as word sense disambiguation resnik 1995 synonym extraction lin 1998a and automatic thesauri generation curran 2002 ,0,1,0
strube and ponzetto 2006 019048 leacock chodrow 1998 036 lin 1998b 036 resnik 1995 037 proposed 0504 7 conclusion we proposed a relational model to measure the semantic similarity between two words ,0,1,0
wiebe 2000 uses lin 1998a style distributionally similar adjectives in a clusterandlabel process to generate sentiment lexicon of adjectives ,0,1,0
our approach to stc uses a thesaurus based on corpus statistics lin 1998 for realvalued similarity calculation ,0,1,0
some researchers hindle 1990 grefenstette 1994 lin 1998 classify terms by similarities based on their distributional syntactic patterns ,0,1,0
a wide range of contextual information such as surrounding words lowe and mcdonald 2000 curran and moens 2002a dependency or case structure hindle 1990 ruge 1997 lin 1998 and dependency path lin and pantel 2001 pado and lapata 2007 has been utilized for similarity calculation and achieved considerable success ,0,1,0
31 context extraction we adopted dependency structure as the context of words since it is the most widely used and wellperforming contextual information in the past studies ruge 1997 lin 1998 ,0,1,0
2 related work thisworkbuildsuponthatofmccarthyetal2004 which acquires predominant senses for target words from a large sample of text using distributional similarity lin 1998 to provide evidence for predominance ,0,1,0
in this approach we extend the denition overlap by considering the distributional similarity lin 1998 rather than identify of the words in the two denitions ,0,1,0
mccarthy et al use a distributional similarity thesaurus acquired from corpus data using the method of lin 1998 for nding the predominant sense of a word where the senses are dened by wordnet ,0,1,0
let w be a target word and nw fn1n2nkg be the ordered set of the top scoring k neighbours of w from the thesaurus with associated distributional similarity scores fdsswn1dsswn2dsswnkg using lin 1998 ,0,1,0
we use the similarity proposed by lin 1998 ,0,1,0
the common types of features include contextual lin 1998 cooccurrence yang and callan 2008 and syntactic dependency pantel and lin 2002 pantel and ravichandran 2004 ,0,1,0
inspired by the conjunction and appositive structures riloff and shepherd 1997 roark and charniak 1998 used cooccurrence statistics in local context to discover sibling relations ,0,1,0
clusteringbased approaches usually represent word contexts as vectors and cluster words based on similarities of the vectors brown et al 1992 lin 1998 ,0,1,0
the second uses lin dependency similarity a syntacticdependency based distributional word similarity resource described in lin 1998a9 ,0,1,0
while kazama and torisawa used a chunker we parsed the definition sentence using minipar lin 1998b ,0,1,0
the earliest work in this direction are those of hindle 1990 lin 1998 dagan et al 1999 chen and chen 2000 geffet and dagan 2004 and weeds and weir 2005 ,0,1,0
lin 1998 proposed a word similarity measure based on the distributio nal pattern of words which allows to construct a thesaurus using a parsed corpus ,0,1,0
for every pair of nouns where each noun had a total frequency in the triple data of 10 or more we computed their distributional similarity using the measure given by lin 1998 ,0,1,0
as a basis mapping function we used a generalisation of the one used by grefenstette 1994 and lin 1998 ,0,1,0
in particular this method has been used for word sense disambiguation lin 1997 and thesaurus construction lin 1998 ,0,1,0
we used an implementation of mcdonald 2006forcomparisonofresultsclarkeandlapata 2007 ,0,1,0
elhadad et al 2001 clarke and lapata 2007 madnani et al 2007 ,0,1,0
this framework is 211 commonly used in generation and summarization applications where the selection process is driven by multiple constraints marciniak and strube 2005 clarke and lapata 2007 ,0,1,0
in prior research ilp was used as a postprocessing step to remove redundancy and make other global decisions about parameters mcdonald 2007 marciniak and strube 2005 clarke and lapata 2007 ,0,1,0
41 corpora sentence compression systems have been tested on product review data from the ziffdavis zd henceforth corpus by knight and marcu 2000 general news articles by clarke and lapata cl henceforth corpus 2007 and biomedical articles lin and wilbur 2007 ,0,1,0
besides precision recall and balanced fmeasure we also include an fmeasure variant strongly biased towards recall 0b01 which fraser and marcu 2007 found to be best to tune their leaf aligner for maximum mt accuracy ,0,1,0
the training data is aligned using the leaf technique fraser and marcu 2007 ,0,1,0
12 related work recently discriminative methods for alignment have rivaled the quality of ibm model 4 alignments liu et al 2005 ittycheriah and roukos 2005 taskar et al 2005 moore et al 2006 fraser and marcu 2007b ,0,1,0
in contrast to the semisupervised leaf alignment algorithm of fraser and marcu 2007b which requires 15002000 cpu days per iteration to align 84m chineseenglish sentences anonymous pc link deletion requires only 450 cpu hours to realign such a corpus after initial alignment by giza which requires 2024 cpu days ,0,1,0
however fraser and marcu 2007a show that in phrasebased translation improvements in aer or fmeasure do not necessarily correlate with improvements in bleu score ,0,1,0
probabilistic generative models like ibm 15 brown et al 1993 hmm vogel et al 1996 itg wu 1997 and leaf fraser and marcu 2007 define formulas for pf e or pe f with okvoon ororok sprok atvoon bichat dat erok sprok izok hihok ghirok totat dat arrat vat hilat okdrubel okvoon anok plok sprok atdrubel atvoon pippat rrat dat okvoon anok drok brok jok atvoon krat pippat sat lat wiwok farok izok stok totat jjat quat cat lalok sprok izok jok stok wat dat krat quat cat lalok farok ororok lalok sprok izok enemok wat jjat bichat wat dat vat eneat lalok brok anok plok nok iat lat pippat rrat nnat wiwok nok izok kantok okyurp totat nnat quat oloat atyurp lalok mok nok yorok ghirok clok wat nnat gat mat bat hilat lalok nok crrrok hihok yorok zanzanok wat nnat arrat mat zanzanat lalok rarok nok izok hihok mok wat nnat forat arrat vat gat figure 1 word alignment exercise knight 1997 ,0,1,0
carpuat and wu 2007b integrated a wsd system into a phrasebased smt system pharaoh koehn 2004a ,0,1,0
furthermore they extended wsd to phrase sense disambiguation psd carpuat and wu 2007a ,0,1,0
similar to wsd carpuat and wu 2007a used contextual information to solve the ambiguity problem for phrases ,1,0,0
recently wordsense disambiguation wsd methods have been shown to improve translation quality chan et al 2007 carpuat and wu 2007 ,1,0,0
in carpuat and wu 2007 anotherstateoftheartwsdengineacombination of naive bayes maximum entropy boosting and kernel pca models is used to dynamically determine the score of a phrase pair under consideration and thus let the phrase selection adapt to the context of the sentence ,1,0,0
wsd is one of the fundamental problems in natural language processing and is important for applications such as machine translation mt chan et al 2007a carpuat and wu 2007 information retrieval ir etc wsd is typically viewed as a classification problem where each ambiguous word is assigned a sense label from a predefined sense inventory during the disambiguation process ,1,0,0
second instead of disambiguating phrase senses as in carpuat and wu 2007 we model word selection independently of the phrases used in the mt models ,0,1,0
there has been considerable skepticism over whether wsd will actually improve performance of applications but we are now starting to see improvement in performance due to wsd in crosslingual information retrieval clough and stevenson 2004 vossen et al 2006 and machine translation carpuat and wu 2007 chan et al 2007 and we hope that other applications such as questionanswering text simplication and summarisation might also benet as wsd methods improve ,1,0,0
promising features might include those over source side reordering rules wang et al 2007 or source context features carpuat and wu 2007 ,1,0,0
on the other hand integrating an additional component into a baseline smt system is notoriously tricky as evident in the research on integrating word sense disambiguation wsd into smt systems different ways of integration lead to conflicting conclusions on whether wsd helps mt performance chan et al 2007 carpuat and wu 2007 ,1,0,0
carpuat and wu 2007 approached the issue as a word sense disambiguation problem ,0,1,0
carpuat and wu 2007 and chan et al ,0,1,0
we are starting to see the beginnings of a positive effect of wsd in nlp applications such as machine translation carpuat and wu 2007 chan et al 2007 ,1,0,0
unlike a full blown machine translation task carpuat and wu 2007 annotators and systems will not be required to translate the whole context but just the target word ,0,1,0
several studies have demonstrated that for instance statistical machine translation smt benefits from incorporating a dedicated wsd module chan et al 2007 carpuat and wu 2007 ,1,0,0
a simple example is shown in figure 1 where the arc between a and hat indicates that hat is the head of a current statistical dependency parsers perform better if the dependency lengthes are shorter mcdonald and nivre 2007 ,0,1,0
3 maltparser maltparser nivre et al 2007b is a languageindependent system for datadriven dependency parsing based on a transitionbased parsing model mcdonald and nivre 2007 ,0,1,0
we then describe the two main paradigms for learning and inference in this years shared task as well as in last years which we call transitionbased parsers section 52 and graphbased parsers section 53 adopting the terminology of mcdonald and nivre 20075 finally we give an overview of the domain adaptation methods that were used section 54 ,0,1,0
a solution that leverages the complementary strengths of these two approachesdescribed in detail by mcdonald and nivre 2007was recently and successfully explored by nivre and mcdonald 2008 ,1,0,0
2007 and nivre and mcdonald 2008 can be seen as methods to combine separately defined models ,0,1,0
the terms graphbased and transitionbased were used by mcdonald and nivre 2007 to describe the difference between mstparser mcdonald and pereira 2006 which is a graphbased parser with an exhaustive search decoder and maltparser nivre et al 2006 which is a transitionbased parser with a greedy search decoder ,0,1,0
mcdonald and nivre 2007 showed that the mstparser and maltparser produce different errors ,0,1,0
in the field of parsing mcdonald and nivre 2007 compared parsing errors between graphbased and transitionbased parsers ,0,1,0
in examining the combination of the two types of parsing mcdonald and nivre 2007 utilized similar approaches to our empirical analysis ,0,1,0
also mcdonald and nivre 2007 ,0,1,0
dependency lengths longdistance dependencies exhibit bad performance mcdonald and nivre 2007 ,0,1,0
c 2009 association for computational linguistics reverse revision and linear tree combination for dependency parsing giuseppe attardi dipartimento di informatica universita di pisa pisa italy attardidiunipiit felice dellorletta dipartimento di informatica universita di pisa pisa italy felicedellorlettadiunipiit 1 introduction deterministic transitionbased shiftreduce dependency parsers make often mistakes in the analysis of long span dependencies mcdonald nivre 2007 ,0,1,0
in order to get a better understanding of these matters we replicate parts of the error analysis presented by mcdonald and nivre 2007 where parsing errors are related to different structural properties of sentences and their dependency graphs ,0,1,0
first the graphbased models have better precision than the transitionbased models when predicting long arcs which is compatible with the results of mcdonald and nivre 2007 ,0,1,0
as expected we see that mst does better than malt for all categories except nouns and pronouns mcdonald and nivre 2007 ,0,1,0
